Rank	Display Name	Downloads Total	Downloads Yesterday
0	Calamity Mod (No Calamity Music)	9256260	11410
1	Thorium Mod	6583777	6936
2	Boss Checklist	5372719	7523
3	Recipe Browser	5274170	7613
4	Cheat Sheet	3992181	5597
5	Calamity Mod Music	3753468	6254
6	Fargo's Mutant Mod	3455982	4076
7	Yet Another Boss Health Bar	2777215	3532
8	AlchemistNPC	2696890	2583
9	HERO's Mod	2655893	3610
10	Magic Storage	2527934	2570
11	Spirit Mod	2318853	4147
12	Mod Helpers	2042513	2193
13	VeinMiner	2021234	4071
14	Terraria Overhaul	1956209	1886
15	Wing Slot	1889210	2125
16	Fargo's Souls Mod	1761282	3038
17	Elements Awoken	1560418	1346
18	Tremor Mod Remastered	1543577	11
19	Which Mod Is This From? (WMITF)	1457187	1429
20	imkSushi's Mod	1441300	1076
21	JoostMod	1419006	930
22	Auto Trash	1252942	1294
23	Reduced Grinding	1168272	495
24	Shadows of Abaddon	1161397	881
25	WeaponOut	1121912	1329
26	Shorter Respawn Time	978019	1135
27	Luiafk	972554	2241
28	Max Stack Plus Extra	938336	2151
29	MaxStackPlus	881496	554
30	Qwerty's Bosses and Items	871437	392
31	No More Tombs	832583	1772
32	Calamity Mod Extra Music	829335	1143
33	Mod of Redemption (No Music)	821299	1668
34	[c/85C1E9:The Enigma Mod!]	816989	450
35	Boss Cursor	816654	1359
36	Extensible Inventory	792752	866
37	OmniSwing	771029	1028
38	Crystilium	741772	304
39	AFK's PETS and more	704779	687
40	AlchemistNPC Lite	692384	1287
41	Even More Modifiers	690188	425
42	More Chest Loot	671369	254
43	Leveled Mod	665785	943
44	Base Mod	633697	288
45	Split	633147	4464
46	Loot Bags	630977	385
47	Ancients Awakened	627734	679
48	The Antiaris	578592	353
49	Infinity - Endless Items	561767	171
50	Webmilio's Commons Library	549279	1099
51	Where's My Items	545673	523
52	MoreAccesories+	509253	337
53	Wildlife Mod	506174	223
54	Localizer	501679	2544
55	WorldGen Previewer	477402	282
56	Elements Awoken Music	468042	562
57	Calamity's Vanities	463414	2106
58	Pumpking's Mod	459058	612
59	Summoners Association	448762	208
60	Rewards	436598	104
61	Furniture, Food, and Fun	436389	116
62	Prefixes For Enemies	382750	94
63	Antisocial	379876	587
64	Universe Of Swords Mod	372524	246
65	Smart Doors (from 1.4)	353212	1121
66	ExperienceAndClasses	349021	178
67	Census - Town NPC Checklist	347834	466
68	Consolaria	347727	527
69	ZoaklenMod	346798	55
70	Low-Health Beep	342712	1486
71	[c/d91616:Universe Of Bows Mod]	336090	165
72	Upgraded Accessories	330563	207
73	[c/f79bcf:PINKYMOD: A Tale of Gods and Men]	330404	344
74	Bags	326267	344
75	Chad's Furniture Mod	325382	141
76	Item Checklist	312336	178
77	Helpful NPCs	311742	310
78	GRealm	307501	182
79	JoJoStands	301646	605
80	Portable Storage	301046	0
81	Project tRU	298530	434
82	Starter Classes [c/FF0000:(Mod Support)]	298524	1352
83	The Luggage	292725	93
84	Elenir's Mod	285971	1265
85	High Quality Main Menu Logo Mod (HQMMLM)	285213	1339
86	Mystic Lands Reborn	284503	88
87	Friendly NPCs Don't Die	284422	390
88	Health and Mana From Bosses	284342	297
89	The Shapeshifter	283638	73
90	kRPG - Kalciphoz RPG Mod Updated	282469	96
91	Fishing 2.0	279066	121
92	Dual Wielding	271146	129
93	Start with base	270080	186
94	Elemental Unleash	269381	136
95	Discord Hook	269159	1269
96	Unleveled Mod	267047	131
97	Simple Auto Chests	266533	78
98	Shoemod	266140	1175
99	RPG Classes	265663	53
100	Archery Overhaul	262909	524
101	Craftable Living Wood Stuff	255746	1193
102	Mod of Redemption: Music Pack	254775	623
103	Universal Empires	254022	1177
104	Blood Blade	253902	1201
105	Sigil of Discord	251757	1167
106	The Phoenix Mod	251392	1190
107	Faster Tools	250816	273
108	Base Library	246540	0
109	Begone, Evil! (Disable Evil Biome Spread)	235933	650
110	Calamity Addon	232686	67
111	Widgets	223521	97
112	Apacchii's Classes Mod	217554	800
113	Full Health Respawn	215929	146
114	Plentiful Ores	215193	166
115	Osiann Tools	209735	924
116	Better Night Sky	209171	173
117	Fernium Remastered	205724	149
118	Ibadeji's Mod	203118	888
119	Osiann Mod Core	203112	888
120	Extra Gunslinger Gear	203099	89
121	rip to all	202562	884
122	Legendaries+	194683	150
123	Yet Another Boss Summon Shop	192423	179
124	[c/3ABC7A:MrPlague's Authentic Races]	191022	614
125	Ore Seeds	190476	52
126	Thorium + Calamity Convergence Mod	187190	167
127	Item Stats+	185616	209
128	No Angler Timer	183200	97
129	Dragon Ball Terraria	183051	502
130	Terramon - Pokemon in Terraria!	181777	348
131	Item Customizer	179841	101
132	Solutions Mod	178592	47
133	Boss Expertise	177517	57
134	Various Weathers	177272	105
135	Nightmares Unleashed	176092	37
136	Helpful Hotkeys	174828	66
137	Danew's Mini-Boss NPC	174759	55
138	Useful NPCs	173514	457
139	Wormholes	173438	23
140	SuperQuickRespawn	170889	132
141	[c/a134eb:Bismuth Mod] (Skills, Quests, Towns!)	168488	232
142	Large World Enabler	168424	81
143	Cheeze's Content Pack	166010	36
144	Shop Expander	165733	160
145	AutoReforge	165693	295
146	Container Library	162024	0
147	[i:520] [c/d4af37:Memes Unleashed] [i:520]	159466	71
148	Exodus Mod	158126	90
149	Dark-Assassin's Mod Library (DALib)	158076	25
150	Terraria Randomizer Mod	157132	199
151	[c/AF00AF:JoJo Stands] (by G@yLord239)	156928	384
152	Fluid Library	155505	47
153	DNI Equipment Upgrade	155157	98
154	Gensokyo	153919	155
155	Wireless	153425	74
156	Faster Weapons	152151	233
157	Skyblock Mod	151513	42
158	Industrial Pickaxes	150968	332
159	Cataclysm (Calamity Addon)	149988	828
160	Boss Highlights (Discontinued)	149026	39
161	Colored Damage Types	147886	186
162	[i:2730][i:2718][i:2712]mod - [i:3725] [c/4fd446:Century's Millennium] [i:3580][i:3040]	147804	156
